Table 41.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIENS REMOVED BY CRIMINAL STATUS AND REGION AND COUNTRY OF NATIONALITY: FISCAL YEARS 2006 TO 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of nationality,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,
,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,Total,Criminal 1,Non-Criminal,
REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,169,44,125,188,49,139,238,68,170,263,61,202,237,89,148,242,100,142,176,81,95,122,64,58,99,42,57,90,37,53,
Rwanda,3,D,D,6,D,D,7,3,4,10,D,D,5,D,D,8,3,5,5,D,D,4,-,4,3,D,D,7,D,D,
Saint Kitts-Nevis,25,22,3,14,D,D,14,8,6,12,8,4,15,7,8,20,11,9,37,33,4,14,10,4,17,D,D,15,D,D,
Saint Lucia,35,13,22,46,27,19,30,16,14,37,20,17,35,13,22,23,10,13,23,12,11,26,10,16,15,5,10,12,4,8,
Saint Vincent and the Grenadines,21,14,7,26,15,11,23,12,11,32,16,16,26,18,8,20,17,3,28,25,3,22,17,5,21,17,4,11,8,3,
Samoa,7,3,4,23,12,11,20,12,8,19,13,6,14,D,D,9,5,4,5,D,D,10,6,4,10,7,3,D,D,-,
Saudi Arabia,23,4,19,31,5,26,32,11,21,18,6,12,38,11,27,16,4,12,36,17,19,52,18,34,67,20,47,64,20,44,
Senegal,124,23,101,79,15,64,87,20,67,88,24,64,65,13,52,51,21,30,34,9,25,40,16,24,25,9,16,22,5,17,
Serbia,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,11,3,8,18,12,6,D,-,D,11,D,D,11,D,D,
Serbia and Montenegro (former),105,29,76,137,32,105,165,30,135,101,24,77,109,27,82,79,18,61,23,4,19,20,7,13,4,D,D,8,4,4,
Sierra Leone,35,15,20,51,16,35,27,7,20,17,4,13,36,11,25,44,25,19,35,28,7,18,11,7,12,9,3,3,D,D,
Singapore,16,3,13,16,5,11,21,3,18,23,8,15,17,8,9,14,6,8,D,D,-,7,D,D,10,4,6,5,D,D,
Slovakia,35,5,30,44,6,38,35,6,29,42,7,35,67,19,48,37,10,27,26,7,19,24,8,16,16,5,11,9,3,6,
Slovenia,3,D,D,9,D,D,4,-,4,7,D,D,10,3,7,7,3,4,4,-,4,3,D,D,5,-,5,3,D,D,
Somalia,39,5,34,19,3,16,23,D,D,26,6,20,39,9,30,31,5,26,41,5,36,62,33,29,63,22,41,103,4,99,
South Africa,69,24,45,45,13,32,59,18,41,51,15,36,61,12,49,52,23,29,43,25,18,36,17,19,39,25,14,49,16,33,
South Sudan,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,38,38,-,9,9,-,D,D,-,
Soviet Union (former),8,5,3,5,D,D,14,6,8,5,D,D,4,D,D,4,D,D,D,D,-,4,D,D,D,D,-,-,-,-,
Spain,59,25,34,65,25,40,94,27,67,156,21,135,137,30,107,122,38,84,93,37,56,93,30,63,103,34,69,100,31,69,
